startup_name,location_country,sector,funding_date,funding_year,date_precision,amount_usd,amount_is_estimate,investors,stage,debt_equity,female_cofounder_or_ceo,local_founder,intnl_founder,launched,accelerator,employees,source_file,country,region_group
BFREE,Nigeria,fintech,1-01-01,2022,full_date,1700000.0,False,"4Di Capital, Octerra Capital, VestedWorld, Voltron Capital, Logos Ventures and several unnamed business angels",Pre-Series A,Equity,No,Yes,Yes,2019,No,160.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
ThankUCash,Nigeria,fintech,1-01-01,2022,full_date,5300000.0,False,"500 Global, Unicorn Growth Capital, with participation from Expert Dojo, Predictive VC, SaaS Growth Ventures, Betatron, Accelerex Holding, former HSBC CEO Andrew Dell, Google director of strategy and operations Craig Fenton, and others.",Seed,Equity,Yes,Yes,Yes,2018,Yes,30.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
SeamlessHR,Nigeria,HR,1-01-01,2022,full_date,10000000.0,False,"TLcom Capital and also featuring Capria Ventures as well as existing investors Lateral Frontier Ventures, Enza Capital and Ingressive Capital, and several strategic private investors.",Series A,Equity,No,Yes,No,2018,No,101.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Orda,Nigeria,restaurant management,,2022,year_only,4500000.0,False,"led by Lofty Inc Capital Management, with participation from Techstars – Boulder, Magic Fund, Hustle Fund, Norrsken Foundation, Microtraction, DFS Labs, Oxford Seed Fund, Enza Capital and Agrolay Advisors, as well as Ire Aderinokun, Jesse Ovia, Ademola Adesina and other angel investors (January), Quona Capital and FinTech Collective, LoftyInc, and also saw participation from institutional investors including Far Out Ventures and Outside VC, angels Doneci Kone and Julian Shapiro, and follow-on investment from Norrsken Foundation, LoftyInc Capital and Enza Capital (December)",Pre-Seed/Seed,Equity,No,Yes,No,2020,Yes,20.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Frain,Nigeria,developer tooling,1-01-01,2022,full_date,473000.0,False,"Rally Cap Ventures, and also includes Musha Ventures, Future Africa, Eric Idiah, Tomiwa Lasebikan, Prosper Otemuyiwa, Odunayo Eweniyi, Timi Ajiboye, Opeyemi Awoyemi, Y Combinator",Pre-Seed,Equity,No,Yes,No,2021,Yes,5.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Fidia,Nigeria,retail-tech,1-01-01,2022,full_date,125000.0,False,On Deck,Undisclosed,Equity,No,Yes,No,2020,Yes,3.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Sendchamp,Nigeria,marketing,1-01-01,2022,full_date,125000.0,False,On Deck,Undisclosed,Equity,Yes,Yes,No,2020,Yes,6.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Sendstack,Nigeria,logistics,1-01-01,2022,full_date,125000.0,False,On Deck,Undisclosed,Equity,Yes,Yes,No,2021,Yes,1.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Moni,Nigeria,fintech,,2022,year_only,500000.0,False,Y Combinator,Undisclosed,Equity,No,Yes,No,2021,Yes,16.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Dojah,Nigeria,digital identity,,2022,year_only,500000.0,False,Y Combinator,Undisclosed,Equity,Yes,Yes,No,2020,Yes,22.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
