startup_name,city,industry,sub_vertical,investors,investment_type,amount_usd,amount_flag_check_currency,funding_date,founding_date,founders,country,region_group,year_folder,source_file
LensKart,,,,"TPG Growth, TR Capital, IDG Ventures",Private Equity,2150000.0,False,2015-01-02,,,India,South Asia,2015,Jan_2015.csv
VioletStreet,,,,"Venkat Vallabhneni, Sudhakar Reddy, Srinivasa Rao Paturi",Seed Funding,315000.0,False,2015-01-02,,,India,South Asia,2015,Jan_2015.csv
Lookup,,,,"DeNA Co., Japan & Teruhide Sato (in Addition to MKS Switzerland & Kris GopalKrishnan)",Seed Funding,380000.0,False,2015-01-05,,,India,South Asia,2015,Jan_2015.csv
#Fame,,,,TO THE NEW Ventures,Private Equity,10000000.0,False,2015-01-05,,,India,South Asia,2015,Jan_2015.csv
Gympik,,,,"Tom Clausen, Rohan Ajila, Haldyn Glass",Seed Funding,135000.0,False,2015-01-05,,,India,South Asia,2015,Jan_2015.csv
Tookitaki,,,,"Jungle Ventures, Redbright Partners, Blume Ventures",Private Equity,1000000.0,False,2015-01-06,,,India,South Asia,2015,Jan_2015.csv
NumberMall,,,,SRI Capital,Private Equity,10000000.0,False,2015-01-06,,,India,South Asia,2015,Jan_2015.csv
Frankly,,,,Matrix Partners,Seed Funding,600000.0,False,2015-01-06,,,India,South Asia,2015,Jan_2015.csv
Near.in,,,,"Anupam Mittal, Manish Vij, Prashant Tandon, Gaurav Agarwal, Akash Agarwal, Himanshu Aggarwal, Kevin Parikh",Seed Funding,285000.0,False,2015-01-06,,,India,South Asia,2015,Jan_2015.csv
Purplle.com,,,,IvyCap Ventures,Private Equity,,False,2015-01-06,,,India,South Asia,2015,Jan_2015.csv
Faircent,,,,"Devesh Sachdev, Ashish Tiwari",Seed Funding,,False,2015-01-07,,,India,South Asia,2015,Jan_2015.csv
Nurturey,,,,Seedrs Crowd funding platform,Crowd funding,125000.0,False,2015-01-07,,,India,South Asia,2015,Jan_2015.csv
Bewakoof,,,,"Rohit Bansal, Kunal Bahl, Nikhil Vora",Seed Funding,,False,2015-01-07,,,India,South Asia,2015,Jan_2015.csv
Stridalyzer,,,,Kickstarter,Crowd Funding,30768.0,False,2015-01-07,,,India,South Asia,2015,Jan_2015.csv
Commonfloor,,,,Google Capital,Private Equity,5000000.0,False,2015-01-07,,,India,South Asia,2015,Jan_2015.csv
YepMe,,,,"JS Capital, Helion Venture Partners, Capricorn Investment Group",Private Equity,13000000.0,False,2015-01-09,,,India,South Asia,2015,Jan_2015.csv
TapCibo,,,,Alok Goel,Seed Funding,,False,2015-01-09,,,India,South Asia,2015,Jan_2015.csv
Sokrati,,,,"IvyCap Ventures, Inventus Capital",Private Equity,,False,2015-01-09,,,India,South Asia,2015,Jan_2015.csv
MyDreamStore,,,,Undisclosed Investors,Seed Funding,290000.0,False,2015-01-12,,,India,South Asia,2015,Jan_2015.csv
Verayu,,,,"GWB Group, Blume Ventures",Private Equity,,False,2015-01-12,,,India,South Asia,2015,Jan_2015.csv
AppVirality,,,,"Rajan Anandan, Mike Galgon, Ashim Mehra, Mohit Saxena, Ravi Gururaj, TNN Capital & IIG",Seed Funding,,False,2015-01-13,,,India,South Asia,2015,Jan_2015.csv
RateGain,,,,TA Associates,Private Equity,50000000.0,False,2015-01-14,,,India,South Asia,2015,Jan_2015.csv
Wishberry,,,,"Rajan Anandan, Shankar Mahadevan, Deep Kalra & Others",Seed Funding,650000.0,False,2015-01-15,,,India,South Asia,2015,Jan_2015.csv
eKincare,,,,Adroitent Pvt. Ltd.,Seed Funding,161000.0,False,2015-01-16,,,India,South Asia,2015,Jan_2015.csv
ShopClues,,,,Tiger Global & Other investors,Private Equity,100000000.0,False,2015-01-18,,,India,South Asia,2015,Jan_2015.csv
