Name,Website,Industry,Country,Funding_Amount_USD,Funding_Type,Last_Funding_Date
Enter,getenter.ai,"Legal, Artificial Intelligence, B2B Software",Brazil,100000000,Series B,May 2026
Ben up,benup.com.br,"Human Resources, B2B Software",Brazil,3500000,Seed,May 2026
Draiven,draiven.io,"Artificial Intelligence, Analytics, B2B Software, Data",Brazil,500000,Pre-Seed,May 2026
Segura,segura.ai,"Insurance, B2B Software, Marketplace",Brazil,8998020,Seed,May 2026
UnblockPay,unblockpay.com,"FinTech, Finance, B2B Software, Blockchain",Brazil,4500000,Seed,May 2026
Falaê,falae.app,"Hospitality, B2B Software, Food and Beverage",Brazil,300168,Seed,Apr 2026
Bond,bond.com.br,"Accounting, Finance, Artificial Intelligence, B2B Software",Brazil,2006219,Pre-Seed,Apr 2026
Glamm,glamm.com.br,"Beauty, Marketplace, Mobile, Wellness",Brazil,,Pre-Seed,Apr 2026
Kaizen Mentoria,kaizenmentoria.com,"Education, Personal Development",Brazil,969161,Venture - Series Unknown,Apr 2026
NuVidio App,nuvidio.com.br,"B2B Software, Cloud Computing, Cyber Security, Information Technology",Brazil,1147623,Venture - Series Unknown,Apr 2026
Openbox.ai,openbox.ai,"Accounting, Finance, Artificial Intelligence, B2B Software",Brazil,5000000,Seed,Apr 2026
Aro,,"FinTech, Finance, B2C Software, Community",Brazil,2500000,Pre-Seed,Apr 2026
Comp,comp.vc,"Human Resources, Analytics, B2B Software, Data",Brazil,19313393,Series A,Mar 2026
Vagga.ai,vagga.ai,"Recruiting, Artificial Intelligence, B2B Software",Brazil,19510,Seed,Mar 2026
DP4,dp4.com.br,"Logistics, Beauty, Food and Beverage, Pharmaceuticals",Brazil,,Pre-Seed,Mar 2026
BlueMetrics,bluemetrics.ai,"Artificial Intelligence, Analytics, B2B Software, Data",Brazil,521880,Venture - Series Unknown,Mar 2026
Draiven,draiven.io,"Artificial Intelligence, Analytics, B2B Software, Data",Brazil,,Seed,Mar 2026
Global Eggs,globaleggs.com,"Agriculture, Consumer Goods, Food and Beverage, Logistics, Manufacturing",Brazil,1000000000,Private Equity,Mar 2026
Azos,azos.com.br,"Insurance, Finance, FinTech",Brazil,24072719,Series C,Mar 2026
Rocas Tech,rocas.tech,"Education, B2B Software",Brazil,200000,Seed,Mar 2026
shiva,omshiva.ai,"Community, Artificial Intelligence, Education, Investing",Brazil,10000000,Pre-Seed,Mar 2026
Core AI,core-ai.tech,"FinTech, Finance, Artificial Intelligence, B2B Software",Brazil,4100000,Seed,Mar 2026
Hero Seguros,heroseguros.com.br,Insurance,Brazil,6689476,Venture - Series Unknown,Mar 2026
Mevo,mevosaude.com.br,"Healthcare, B2C Software, E-commerce, Retail",Brazil,18156104,Series B,Mar 2026
Saúde Bliss,blissapp.ai,"Insurance, B2C Software, Healthcare, Marketplace",Brazil,10894289,Series A,Mar 2026
Anbetec Tecnologia,anbetec.com.br,"B2B Software, Information Technology, Professional Services",Brazil,5669684,Venture - Series Unknown,Feb 2026
Jabuti Technologies,jabuti.ai,"Artificial Intelligence, B2B Software, Data",Brazil,396878,Seed,Feb 2026
Lerian,lerian.studio,"FinTech, Finance, B2B Software",Brazil,5680959,Seed,Feb 2026
Ruvo,ruvo.com,"FinTech, Finance, Blockchain",Brazil,4600000,Seed,Feb 2026
Avenia,avenia.io,"FinTech, Finance, B2B Software, Blockchain, Cloud Computing",Brazil,17252617,Series A,Feb 2026
Dastia,dastia.com.br,"B2B Software, Artificial Intelligence, Analytics, Data",Brazil,15336,Pre-Seed,Feb 2026
