Name,Website,Industry,Country,Funding_Amount_USD,Funding_Type,Last_Funding_Date
Grupalia,grupalia.com,"FinTech, Finance, B2B Software, Mobile",Mexico,7700000,Seed,Apr 2026
Plata,platacard.mx,"FinTech, Finance",Mexico,405000000,Series C,Apr 2026
Corporate Travel Services,cts.com.mx,"Logistics, Transportation",Mexico,,Private Equity,Apr 2026
ARQ,dolarapp.com,"FinTech, Finance, Blockchain, Mobile",Mexico,70000000,Venture - Series Unknown,Mar 2026
Saptiva AI,saptiva.com,"Artificial Intelligence, B2B Software, Cloud Computing, Data",Mexico,,Pre-Seed,Feb 2026
Daypass.com,daypass.com,"Travel, B2C Software, Hospitality, Marketplace",Mexico,2000000,Seed,Feb 2026
Kavak,kavak.com,"Automotive, Finance, E-commerce, FinTech, Marketplace",Mexico,300000000,Series F,Feb 2026
VelaFi,velafi.com,"FinTech, Finance, Blockchain, Mobile",Mexico,20000000,Series B,Jan 2026
Leona,leona.health,"Healthcare, Artificial Intelligence, B2B Software",Mexico,14000000,Seed,Dec 2025
Sistema.bio,sistema.bio,"Agriculture, Energy, Environment, Manufacturing",Mexico,,Venture - Series Unknown,Nov 2025
Xccelera,xccelera.ai,"Artificial Intelligence, B2B Software, Cloud Computing, Data, FinTech, Healthcare, Logistics, Retail, Travel",Mexico,1000000,Seed,Nov 2025
Cofers,cofers.mx,"B2B Software, Cloud Computing, FinTech, Finance",Mexico,1500000,Seed,Nov 2025
Xinú,xinu.mx,"Consumer Goods, Beauty",Mexico,,Venture - Series Unknown,Nov 2025
The Nearshore Company,thenearshorecompany.com,Manufacturing,Mexico,27200000,Private Equity,Nov 2025
Liga de Futbol Americano Profesional,lfa.mx,Sports,Mexico,100000000,Private Equity,Nov 2025
Aureo,aureobitcoin.com,"Blockchain, Finance",Mexico,1100000,Pre-Seed,Oct 2025
Plata,platacard.mx,"FinTech, Finance",Mexico,250000000,Series B,Oct 2025
VEMO,vemovilidad.com,"EV, Automotive, Transportation",Mexico,250000000,Private Equity,Sep 2025
Zumma,zummafinancial.com,Finance,Mexico,,Seed,Aug 2025
Kapital,kapital.com,Finance,Mexico,100000000,Series C,Aug 2025
Momento,tumomento.com,"Insurance, Automotive",Mexico,10250000,Series A,Aug 2025
Klar,klar.mx,"FinTech, Finance",Mexico,170000000,Series C,Jul 2025
Crabi,crabi.com,Food and Beverage,Mexico,13600000,Venture - Series Unknown,Jun 2025
Plenna,soyplenna.com,"Healthcare, Wellness",Mexico,6000000,Venture - Series Unknown,Jun 2025
Nonco,nonco.com,"Finance, Investing",Mexico,8435224,Venture - Series Unknown,Jun 2025
Xante,xante.mx,Food and Beverage,Mexico,25536668,Convertible Note,May 2025
Salmon Labs,salmonrun.ai,"Artificial Intelligence, Analytics",Mexico,2600000,Seed,May 2025
Antal Capital,antal.app,"Cloud Computing, Artificial Intelligence",Mexico,500000,Pre-Seed,Apr 2025
