Name,YC_Batch,Status,Founded_Year,Team_Size,Location,Short_Description,Long_Description,Industries,Website,LinkedIn,Twitter,Crunchbase,GitHub,Founders,Founder_LinkedIns,YC_URL
,WINTER 2020,,2014,5000,"Mexico City, CDMX, Mexico",The fastest shipping for online shopping,"99minutos idea came when 2 friends and I went to a hookah bar and have some beers. When we got there they told us they ran out of charcoal for the hookah, so we said “We came here for that, is there anywhere we can order and receive it now?”, that is when we realized that the concept of fast delivery for e-commerce didn’t exist not only in mexico but in the world. So next day we launched an e-commerce store called 99minutos where anything you bought there got delivered in less than 99 minutes within mexico city. A couples of months later my 2 friends left the company so i remained as solo founder and the pivot the company, got rid of the e-commerce and focused only in the delivery.",LOGISTICS,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/8061652/admin/,https://twitter.com/99minutos,https://www.crunchbase.com/organization/99-minutos,https://github.com/99minutos,,https://www.linkedin.com/in/alexis-patjane-48a73784/?originalSubdomain=mx,https://www.ycombinator.com/companies/99minutos
,SUMMER 2021,,2020,18,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Automate finance operations with Python and AI,"TL;DR: Abstra is a Python-based workflow engine to design and manage custom business processes with no overhead, powered by AI. Merge automated tasks with manual reviews, gain real-time insights into operations, and track history with git-compatible versioning & auditable logs.","ARTIFICIAL INTELLIGENCE, SAAS, FINANCE, B2B, AUTOMATION",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/abstra-tech,https://twitter.com/bruno_vcosta,https://www.crunchbase.com/organization/abstra,https://github.com/abstra-app/,,https://www.linkedin.com/in/brunovcosta/,https://www.ycombinator.com/companies/abstra
,WINTER 2022,,2017,38,"Cambridge, MA, USA",Bringing non-invasive brain stimulation from the hospital to the home,,"MENTAL HEALTH TECH, NEUROTECHNOLOGY, MEDICAL DEVICES",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/actipulse-international,https://twitter.com/neuro_gabo,,,,https://www.linkedin.com/in/adrienchatillon/ | https://www.linkedin.com/in/gabriel-villafuertemdphd,https://www.ycombinator.com/companies/actipulse-neuroscience
,WINTER 2021,,2014,50,"Santiago, Santiago Metropolitan Region, Chile",Shopify for Beauty and Wellness businesses in Latam,,"SAAS, E-COMMERCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/agendapro,https://twitter.com/seba_hevia,https://www.crunchbase.com/organization/agendapro,,,https://www.linkedin.com/in/julioagg/ | https://www.linkedin.com/in/sebastian-hevia-ovalle/ | https://www.linkedin.com/in/nicolas-rossi-brotfeld/ | https://www.linkedin.com/in/mat%C3%ADas-ulloa-11b21640/,https://www.ycombinator.com/companies/agendapro
,SUMMER 2021,,2017,27,"São Paulo, State of São Paulo, Brazil",Podium for local businesses in Latam,,"FINTECH, SAAS, B2B",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/ahazouapp,https://twitter.com/ycombinator,,https://github.com/ahazou,,https://www.linkedin.com/in/ruikm/,https://www.ycombinator.com/companies/ahazou
,SUMMER 2019,,2017,14,"Mexico City, CDMX, Mexico","Staff management software for retail, manufacturing and hospitality",,"SAAS, B2B",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/alana.jobs/,https://twitter.com/rafaleon12,https://www.crunchbase.com/organization/alana,,,https://www.linkedin.com/in/dabo7/ | https://www.linkedin.com/in/rafaleono/ | https://www.linkedin.com/in/ignacio-martinez-82658a55/,https://www.ycombinator.com/companies/alana
,SUMMER 2021,,2018,60,"Buenos Aires, Argentina",We help automotive aftermarket brands to supply and sell parts online,,"MARKETPLACE, B2B, E-COMMERCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/alephee,https://twitter.com/gzelerteins,https://www.crunchbase.com/organization/alephcrm,,,https://www.linkedin.com/in/gzelerteins | https://www.linkedin.com/in/javierneumann/ | https://www.linkedin.com/in/jonathansaiegh/,https://www.ycombinator.com/companies/aleph-solutions-alephee
,WINTER 2022,,2021,10,"Mexico City, CDMX, Mexico",Fresh procurement made easy,,"B2B, LOGISTICS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://linkedin.com/company/alima-latam,https://twitter.com/jorgeviz_,https://crunchbase.com/organization/alima,https://github.com/alima-latam,,https://linkedin.com/in/jorgeviz | https://www.linkedin.com/in/blanca-espinosa-escorza-b2a56139/ | https://www.linkedin.com/in/jorge-msb/,https://www.ycombinator.com/companies/alima
TL;DR,SUMMER 2025,,2023,5,"Mexico City, CDMX, Mexico",Voice AI Agents for Debt Collection,"We use autonomous voice/text agents to collect debt for banks. Since launching in Mexico 6 months ago, we have collected over $6M USD using only AI agents.",ARTIFICIAL INTELLIGENCE,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/alturio,https://twitter.com/ycombinator,,,,https://linkedin.com/in/luis-olave | https://www.linkedin.com/in/pedrofdzl,https://www.ycombinator.com/companies/altur
,WINTER 2020,,,8,"São Paulo, State of São Paulo, Brazil",We offer free software that automates bureaucracy for real-estate…,,"FINTECH, REAL ESTATE, LATIN AMERICA",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/ycombinator,,,,https://www.linkedin.com/in/jotajunior/ | https://www.linkedin.com/in/alef-miranda/,https://www.ycombinator.com/companies/alude
,WINTER 2022,,2021,20,"Mexico City, CDMX, Mexico",Micro-lender in Mexico,,"FINTECH, LENDING, CONSUMER FINANCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/beloz/,https://twitter.com/ycombinator,,,,https://www.linkedin.com/in/debashish-bhadra-9b14362a/ | https://www.linkedin.com/in/gianfrancogentille/,https://www.ycombinator.com/companies/amiloz
,SUMMER 2021,,2019,7,"Mérida, Yucatan, Mexico",Marketplace to buy managed vacation homes through fractional ownership,,"MARKETPLACE, TRAVEL, PROPTECH",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/ancana/,https://twitter.com/elandresbarrios,https://www.crunchbase.com/organization/ancana,,,https://www.linkedin.com/in/anbarrios/ | https://www.linkedin.com/in/ryanablack/,https://www.ycombinator.com/companies/ancana
,WINTER 2020,,,2,"São Paulo, State of São Paulo, Brazil",Apartio offers Short Term Rentals for Business Travelers in Brazil,,"FINTECH, SUBSCRIPTIONS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/ycombinator,,,,https://www.linkedin.com/in/vitoralbuquerque/ | https://www.linkedin.com/in/luizeduardostudart/ | https://www.linkedin.com/in/cassio-menezes-27bb6112a/,https://www.ycombinator.com/companies/apartio
,SUMMER 2019,,2017,12,"Lima, Peru",Point of sale financing for Latin America's middle class.,,"FINTECH, E-COMMERCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/wakehamp,https://www.crunchbase.com/organization/apurata,,,http://pe.linkedin.com/in/jose-enrique-carrillo-pino-40b09877 | https://www.linkedin.com/in/pwakeham,https://www.ycombinator.com/companies/apurata
,SUMMER 2013,,2013,100,"New York, NY, USA",Payment-as-a-service that helps any business launch payment solutions,,"FINTECH, PAYMENTS, B2B",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/arcusfi/?viewAsMember=true,https://twitter.com/InigoRumayor,https://www.crunchbase.com/organization/regalii,,,https://www.linkedin.com/in/edrizio-de-la-cruz-2b8ab75/ | https://www.linkedin.com/in/juanmaldonado2/ | https://www.linkedin.com/in/inigorumayor/,https://www.ycombinator.com/companies/arcus
,WINTER 2021,,2019,80,"Mexico City, CDMX, Mexico",Enabling consumers split the cost of purchases without a credit card,,"FINTECH, PAYMENTS, CONSUMER FINANCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/36015694,https://twitter.com/rogereur,https://www.crunchbase.com/organization/atrato-pago,,,https://www.linkedin.com/in/juancasian/ | https://linkedin.com/in/rogeliorea | https://www.linkedin.com/in/alejandro-chavez/,https://www.ycombinator.com/companies/atrato
,WINTER 2021,,2018,35,"São Paulo, State of São Paulo, Brazil",Reinventing lifelong learning for the future of work.,,"EDUCATION, ELEARNING",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/awarischool,https://www.crunchbase.com/organization/awari,,,https://www.linkedin.com/in/fabiowlmuniz/,https://www.ycombinator.com/companies/awari
,SUMMER 2021,,2018,150,"Mexico City, CDMX, Mexico",Smart micro financing for everyone,,"MACHINE LEARNING, LENDING",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/baubap,https://www.twitter.com/luisvcastilla/,https://www.crunchbase.com/organization/baubap,,,https://www.linkedin.com/in/roberto-salcedo-nieto/ | https://www.linkedin.com/in/luisvcastilla/,https://www.ycombinator.com/companies/baubap
,WINTER 2017,,2019,32,"Mexico City, CDMX, Mexico",Leading audio subscription platform for Spanish content and creators,,"SUBSCRIPTIONS, CREATOR ECONOMY",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/beek-io/,https://twitter.com/PameVls,https://www.crunchbase.com/organization/beek-2,https://github.com/beek,,https://www.linkedin.com/in/pamelavaldesesteva | http://gt.linkedin.com/in/maxholzheu,https://www.ycombinator.com/companies/beek
,WINTER 2020,,2019,100,"São Paulo, State of São Paulo, Brazil",Open Finance API platform for Latam.,,"FINTECH, SAAS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/belvofinance,https://twitter.com/joinbelvo,https://www.crunchbase.com/organization/belvo,https://github.com/belvo-finance,,https://www.linkedin.com/in/uritintore/ | https://www.linkedin.com/in/viguerapablo/,https://www.ycombinator.com/companies/belvo
