source_section,rank,country,name,url,industry,headquarters,year_founded,founders,funding_amount,last_funding_status,top_investors
top10,1,Indonesia,Honest,https://honestbank.com/,,,,,,,
top10,2,Indonesia,ASTRO,https://www.astronauts.id/,,,,,,,
top10,3,Indonesia,DANA,https://www.dana.id/,,,,,,,
top10,4,Indonesia,Stockbit,https://stockbit.com/,,,,,,,
top10,5,Indonesia,Pintarnya,https://pintarnya.com/,,,,,,,
top10,6,Indonesia,Amartha,https://amartha.com/,,,,,,,
top10,7,Indonesia,PasarPolis,https://www.pasarpolis.com/,,,,,,,
top10,8,Indonesia,Mekari,https://mekari.com/,,,,,,,
top10,9,Indonesia,Xendit,http://www.xendit.co/,,,,,,,
top10,10,Indonesia,Investree,https://www.investree.id/,,,,,,,
table,11,Indonesia,eFishery,http://efishery.com/,AgTech,,2013,,$372.9M,Debt Financing,
table,12,Indonesia,Ula,https://ula.app/,Media,,2020,,$167.7M,Secondary Market,
table,13,Indonesia,JULO,https://www.julo.co.id/,Fintech,,2016,,$155M,Debt Financing,
table,14,Indonesia,VIDA,https://www.vida.id/,Enterprise,,2018,,$47.7M,—,
table,15,Indonesia,Chickin,https://chickin.id/,AgTech,,2018,,$35.3M,Debt Financing,
table,16,Indonesia,Pluang,https://pluang.com/,Fintech,,2019,,$113M,Series B,
table,17,Indonesia,Blitz Electric Mobility,https://www.rideblitz.com/,Mobility,,2019,,$2.6M,Seed,
table,18,Indonesia,Ajaib,https://www.ajaib.co.id/,Fintech,,2019,,$246.3M,Series B,
table,19,Indonesia,TaniHub,http://www.tanihub.com/,AgTech,,2015,,$94.5M,Series B,
table,20,Indonesia,Alodokter,http://alodokter.com/,Healthcare,,2014,,$53.3M,Series D,
table,21,Indonesia,OY!,https://www.oyindonesia.com/,Fintech,,2017,,$60M,Venture Round,
table,22,Indonesia,PROTON Holdings,http://www.proton.com/,Mobility,,1983,,CN¥460.3M,Undisclosed,
table,23,Indonesia,Finku,https://www.finku.id/,Media,,2021,,$2.8M,Seed,
table,24,Indonesia,Pasarnow,https://www.pasarnow.com/,Retail,,2019,,$12.8M,Series A,
table,25,Indonesia,Mapan,https://www.mapan.id/,Media,,2007,,$15.1M,Series A,
table,26,Indonesia,Zi.Care,https://zicare.id/,Healthcare,,2017,,$3.8M,Series A,
table,27,Indonesia,Bababos,https://www.bababos.com/,Enterprise,,2022,,IDR46.1B,Seed,
table,28,Indonesia,Delta138,https://akses2025.wiki/utama/,Gaming,,2021,,—,—,
table,29,Indonesia,Pashouses.id,https://pashouses.id/,Data,,2020,,$5M,Series A,
table,30,Indonesia,Verihubs,https://verihubs.com/,AI,,2019,,$2.8M,Seed,
table,31,Indonesia,Ismaya Group,https://www.ismaya.com/,Fashion,,2003,,IDR266B,Venture Round,
table,32,Indonesia,UpBanx,https://upbanx.com/,Fintech,,2021,,$5.2M,Pre-Seed,
table,33,Indonesia,MilikiRumah,https://www.milikirumah.com/id,Real Estate,,2024,,SGD2.6M,Seed,
table,34,Indonesia,Maha Karta,,Media,,2016,,$30M,Angel,
