source_section,rank,country,name,url,industry,headquarters,year_founded,founders,funding_amount,last_funding_status,top_investors
top10,1,Malaysia,Soft Space,http://www.softspace.com.my/,,,,,,,
top10,2,Malaysia,Digital Nasional,https://www.digital-nasional.com.my/,,,,,,,
top10,3,Malaysia,TNG Digital,https://www.tngdigital.com.my/,,,,,,,
top10,4,Malaysia,respond.io,https://respond.io/,,,,,,,
top10,5,Malaysia,International Islamic Liquidity Management Corporation,http://iilm.com/,,,,,,,
top10,6,Malaysia,Aerodyne Group,https://aerodyne.group/,,,,,,,
top10,7,Malaysia,Insureku,http://www.insureku.com/home,,,,,,,
top10,8,Malaysia,CapBay,https://capbay.com/,,,,,,,
top10,9,Malaysia,Carsome,https://www.carsome.my/,,,,,,,
top10,10,Malaysia,Asia Mobiliti,https://www.asiamobiliti.com/,,,,,,,
table,11,Malaysia,microLEAP,https://www.microleapasia.com/,Fintech,,2018,,$3.7M,Corporate Round,
table,12,Malaysia,Emagene Life,http://www.emagene.life/,AI,,2023,,$1M,Pre-Seed,
table,13,Malaysia,Teleport,https://teleport.asia/,Retail,,2019,,MYR220M,Venture Round,
table,14,Malaysia,MiCare,https://eclaims.micaresvc.com/,Enterprise,,2006,,$90M,Secondary Market,
table,15,Malaysia,FoodMarketHub,https://www.foodmarkethub.com/,Retail,,2017,,$13M,Series A,
table,16,Malaysia,Aonic (Formerly Poladrone),https://www.aonic.com/,AgTech,,2017,,$4.3M,Convertible Note,
table,17,Malaysia,Mr. Bur,https://www.mrbur.com/,Healthcare,,2021,,$7.3M,Seed,
table,18,Malaysia,Dr Clear Aligners,https://www.drclearaligners.my/,Healthcare,,2020,,$8M,Series A,
table,19,Malaysia,Applecrumby & Fish,http://applecrumbyandfish.com/,Retail,,2011,,$4.5M,Series A,
table,20,Malaysia,Involve Asia Technologies,https://involve.asia/,Marketing,,2014,,$10M,Venture Round,
table,21,Malaysia,Versa Asia,https://versa.com.my/,Media,,2019,,MYR30M,Series A,
table,22,Malaysia,Pandai,https://my.pandai.org/,Media,,2020,,$2M,Seed,
table,23,Malaysia,Asia Digital Engineering,https://ade.aero/,Mobility,,2018,,MYR446M,Venture Round,
table,24,Malaysia,HealthMetrics,https://healthmetrics.com/,Cloud,,2015,,$6.6M,Series A,
table,25,Malaysia,Qualitas Health,https://qualitashealth.com.my/,Healthcare,,1997,,$10M,Series A,
table,26,Malaysia,CelcomDigi,https://celcomdigi.com/,Hardware,,2022,,—,—,
table,27,Malaysia,myTukar.com,http://www.mytukar.com/,Mobility,,2017,,$30.9M,Corporate Round,
table,28,Malaysia,TheLorry,http://www.thelorry.com/,Marketplace,,2014,,$7.5M,Debt Financing,
table,29,Malaysia,MX Global,https://mxglobal.com.my/,Crypto,,2018,,$1.6M,Corporate Round,
table,30,Malaysia,MDT Innovations,http://www.mmdt.cc/,Enterprise,,2004,,$28.4M,Venture Round,
table,31,Malaysia,Zoom,http://www.zoomitnow.co/,Logistics,,2016,,MYR4M,Seed,
table,32,Malaysia,URBANMETRY,http://urbanmetry.com/,Analytics,,2014,,$2M,—,
table,33,Malaysia,AVANA,http://avana.asia/,Retail,,2016,,$1.5M,Seed,
table,34,Malaysia,Krenovator,https://www.krenovator.io/,AI,,2019,,$62k,Seed,
table,35,Malaysia,Baloy Sdn. Bhd.,https://baloy.com.my/,Retail,,2019,,MYR23.3M,Series B,
table,36,Malaysia,Merchantrade,https://mtradeasia.com/,Fintech,,1997,,MYR50M,Corporate Round,
table,37,Malaysia,Speedhome,https://speedhome.com/,Media,,2015,,MYR7M,Series A,
table,38,Malaysia,Collektr,https://collektr.co/,Enterprise,,2022,,$1.3M,Seed,
table,39,Malaysia,MHub,https://apps.mhub.my/,Fintech,,2014,,MYR3M,Seed,
table,40,Malaysia,Googolplex Holdings,http://www.googolplex.com.my/,Real Estate,,2017,,MYR12.9M,Series B,
table,41,Malaysia,Sand Town Solar,,Energy,,—,,MYR91.5M,Debt Financing,
table,42,Malaysia,SERV,http://www.servx.io/,Mobility,,2017,,MYR2.4M,Seed,
table,43,Malaysia,Motherhood Care+,https://www.motherhood.care/,Healthcare,,2023,,MYR20M,Seed,
