source_section,rank,country,name,url,industry,headquarters,year_founded,founders,funding_amount,last_funding_status,top_investors
top10,1,Singapore,Bitget,https://www.bitget.com/,,,,,,,
top10,2,Singapore,Thunes,https://www.thunes.com/,,,,,,,
top10,3,Singapore,Nansen,https://nansen.ai/,,,,,,,
top10,4,Singapore,bolttech,https://bolttech.io/,,,,,,,
top10,5,Singapore,Airwallex,http://www.airwallex.com/,,,,,,,
top10,6,Singapore,Nium,https://www.nium.com/,,,,,,,
top10,7,Singapore,Aspire,https://aspireapp.com/,,,,,,,
top10,8,Singapore,MiniMax,https://www.minimaxi.com/en,,,,,,,
top10,9,Singapore,GRVT,https://grvt.io/,,,,,,,
top10,10,Singapore,Manus AI,https://manus.im/,,,,,,,
table,11,Singapore,RushOwl,https://www.rushowl.app/,Mobility,,2018,,$18.2M,Series A,
table,12,Singapore,Klook,https://www.klook.com/,Travel,,2014,,$1B,Series F,
table,13,Singapore,SingAuto,https://www.singautotech.com/,Energy,,2023,,$95M,Venture Round,
table,14,Singapore,Tazapay,https://tazapay.com/,Fintech,,2020,,$32.4M,Series B,
table,15,Singapore,Airalo,https://www.airalo.com/,Media,,2019,,$287.3M,Series C,
table,16,Singapore,k-ID,https://k-id.com/,Enterprise,,2023,,$50.3M,Series A,
table,17,Singapore,watchTowr,https://watchtowr.com/,Security,,2021,,$29.3M,Series A,
table,18,Singapore,Nextbillion.ai,http://nextbillion.ai/,AI,,2020,,$37.3M,Series B,
table,19,Singapore,Lazada Group,http://www.lazada.com/,Retail,,2012,,$7.4B,Corporate Round,
table,20,Singapore,ZOTH,https://zoth.io/,Crypto,,2023,,$24.3M,Initial Coin Offering,
table,21,Singapore,GXS Bank,https://www.gxs.com.sg/,Fintech,,2022,,$228.9M,Corporate Round,
table,22,Singapore,LingoAce,https://www.lingoace.com/,Education,,2017,,$180M,Series C,
table,23,Singapore,Alchemy Pay,https://alchemypay.org/,Crypto,,2018,,$10M,Venture Round,
table,24,Singapore,Univers,https://univers.com/,Energy,,2017,,$210M,Venture Round,
table,25,Singapore,Shein,https://www.shein.com/,Fashion,,2008,,$4.1B,Private Equity,
table,26,Singapore,OpenEden,https://openeden.com/,Crypto,,2020,,$1.5M,Seed,
table,27,Singapore,Qapita,https://www.qapita.com/,Fintech,,2019,,$65.5M,Undisclosed,
table,28,Singapore,Ninja Van,https://www.ninjavan.co/,Logistics,,2014,,$1B,Debt Financing,
table,29,Singapore,Atome,https://www.atome.sg/,Media,,2019,,$1.2B,Debt Financing,
table,30,Singapore,Immunefi,https://immunefi.com/,Crypto,,2020,,$29.5M,Series A,
table,31,Singapore,Sky Mavis,https://www.skymavis.com/,Crypto,,2019,,$311M,Series C,
table,32,Singapore,SuperGaming,https://supergaming.com/,Gaming,,2017,,$36.6M,Series B,
table,33,Singapore,FinbotsAI,https://www.finbots.ai/,Marketing,,2017,,$7.4M,Convertible Note,
table,34,Singapore,Trax,http://traxretail.com/,Analytics,,2010,,$1.1B,Debt Financing,
table,35,Singapore,AfterShip,https://www.aftership.com/,Enterprise,,2012,,$69M,Series B,
table,36,Singapore,Igloo,https://www.iglooinsure.com/,AI,,2016,,$98M,Series C,
table,37,Singapore,"Agency for Science, Technology and Research",https://www.a-star.edu.sg/,Nonprofit,,1987,,$62M,Venture Round,
table,38,Singapore,Triple-A,https://triple-a.io/,Crypto,,2017,,$14M,Series A,
table,39,Singapore,Digift,https://www.digift.sg/index,Crypto,,2021,,SGD14.2M,Venture Round,
table,40,Singapore,Synthesys,https://synthesys.co/,Fintech,,2023,,$11M,Seed,
table,41,Singapore,Finmo,https://finmo.net/,Fintech,,2021,,$26.8M,Series A,
table,42,Singapore,PatSnap,https://www.patsnap.com/,Analytics,,2007,,$351.6M,Series E,
table,43,Singapore,Atomionics,http://www.atomionics.com/,Mobility,,2018,,$13.2M,Seed,
table,44,Singapore,Ultragreen.ai,https://ultragreen.ai/,Manufacturing,,2024,,$188M,Private Equity,
table,45,Singapore,Horizon Quantum,http://horizonquantum.com/,Hardware,,2018,,$21.3M,Series A,
table,46,Singapore,SoSoValue,https://sosovalue.com/,AI,,2023,,$19.2M,Series A,
table,47,Singapore,TONIK,https://www.tonikbank.com/,Fintech,,2018,,$175M,Series B,
table,48,Singapore,ZUZU Hospitality,https://zuzuhospitality.com/,Travel,,2016,,$31.3M,Series B,
table,49,Singapore,DayOne,https://dayonedc.com/,Cloud,,2022,,MYR15B,Debt Financing,
table,50,Singapore,Digital Edge,https://www.digitaledgedc.com/,Infrastructure,,2020,,$2.2B,Debt Financing,
table,51,Singapore,Bluente,https://www.bluente.com/,Media,,2021,,$1.5M,Seed,
table,52,Singapore,fileAI,https://file.ai/,Analytics,,2021,,$20.2M,Series A,
table,53,Singapore,Cinch Tech,https://cinchtech.ai/,Enterprise,,2022,,$28.8M,Seed,
table,54,Singapore,Secretlab,https://secretlab.co/,Retail,,2014,,SGD10M,Series B,
table,55,Singapore,SixSense,https://sixsense.ai/,AI,,2018,,$12.2M,Series A,
table,56,Singapore,Cortical Labs,https://corticallabs.com/,AI,,2019,,$11M,Seed,
table,57,Singapore,Aethir,https://www.aethir.com/,AI,,2021,,$9M,Seed,
table,58,Singapore,GoComet,https://www.gocomet.com/,Enterprise,,2018,,$9.5M,Series A,
table,59,Singapore,UXLINK,https://www.uxlink.io/,Crypto,,2022,,$14M,Seed,
table,60,Singapore,MyRepublic,https://myrepublic.net/,Infrastructure,,2011,,$166.3M,Debt Financing,
table,61,Singapore,Wego,https://www.wego.com/,Retail,,2005,,$66M,Series C,
table,62,Singapore,Tyme Group,https://www.tyme.com/,Fintech,,2018,,$566.8M,Series D,
table,63,Singapore,LBank,https://www.lbank.info/,Fintech,,2015,,$52.2M,Initial Coin Offering,
table,64,Singapore,Bitlayer,https://www.bitlayer.org/,Crypto,,2023,,$25M,Series A,
table,65,Singapore,Carousell,https://www.carousell.sg/,Marketplace,,2012,,$375.4M,Venture Round,
table,66,Singapore,800 Super Holdings,https://www.800super.com.sg/,Environment,,1985,,SGD304M,Private Equity,
table,67,Singapore,Terra Oleo,https://terraoleo.com/,Biotech,,2023,,$3.1M,Seed,
table,68,Singapore,Believe,https://believe.sg/,Fashion,,2014,,$55M,Corporate Round,
table,69,Singapore,WSPN,https://www.wspn.io/,Crypto,,2023,,$30M,Seed,
table,70,Singapore,Arcfra,https://www.arcfra.com/,Cloud,,2024,,$94M,Undisclosed,
table,71,Singapore,AND Global,https://and.global/,Fintech,,2015,,$76.1M,Series B,
table,72,Singapore,CloudSEK,https://www.cloudsek.com/,AI,,2015,,$28.5M,Series B,
table,73,Singapore,Gero,https://www.gero.ai/,AI,,2018,,$18.7M,Undisclosed,
table,74,Singapore,Unite,http://unite.io/,Other,,2012,,$3M,Seed,
table,75,Singapore,Osome,https://osome.com/,Fintech,,2017,,$66.5M,Series B,
table,76,Singapore,Trafigura,http://www.trafigura.com/,Manufacturing,,1993,,$17.6B,Debt Financing,
table,77,Singapore,Intellect,https://intellect.co/,Healthcare,,2019,,$32.8M,Corporate Round,
table,78,Singapore,Finture,https://www.finturegroup.com/en,Fintech,,2021,,$109.5M,Series C,
table,79,Singapore,Singlife,https://www.singlife.com/,Fintech,,2014,,$1.3B,Corporate Round,
table,80,Singapore,Atlan,https://atlan.com/,Data,,2018,,$201.5M,Series C,
table,81,Singapore,Silicon Box,https://www.silicon-box.com/,AI,,2021,,$1.9B,Grant,
table,82,Singapore,Green Li-ion,https://www.greenli-ion.com/,Environment,,2020,,$35.5M,Series B,
table,83,Singapore,ShopBack,https://www.shopback.sg/,Retail,,2014,,$355M,Series F,
table,84,Singapore,HYDGEN,https://www.hyd-gen.com/,Energy,,2024,,SGD2M,—,
table,85,Singapore,ViSenze,http://www.visenze.com/,AI,,2012,,$34M,Venture Round,
table,86,Singapore,Graas,https://www.graas.ai/,Retail,,2022,,$49M,Series B,
table,87,Singapore,ADDX,https://addx.co/,Crypto,,2017,,$140.9M,Series B,
table,88,Singapore,UMAMI Bioworks,https://www.umamibioworks.com/,Food,,2020,,$2.4M,Convertible Note,
table,89,Singapore,Chintai,https://chintai.io/,Crypto,,2019,,$7.7M,Convertible Note,
table,90,Singapore,Blackpanda,https://www.blackpanda.com/,Hardware,,2015,,$21.7M,Series A,
table,91,Singapore,Appknox,https://www.appknox.com/,Hardware,,2014,,$659.9k,Seed,
table,92,Singapore,SleekFlow,https://sleekflow.io/,AI,,2019,,$23.5M,Series A,
table,93,Singapore,Greenitio,https://greenitio.com/,Enterprise,,2021,,$1.5M,Seed,
table,94,Singapore,SynFutures,https://www.synfutures.com/,Crypto,,2020,,$37.4M,Series B,
table,95,Singapore,Kredivo Group,https://kredivocorp.com/,Fintech,,2015,,$750M,Series D,
table,96,Singapore,Deagent AI,https://www.deagent.ai/,AI,,2023,,$10M,Corporate Round,
table,97,Singapore,MediSun Energy,https://www.medisun.energy/,Energy,,2023,,$12.7M,Seed,
table,98,Singapore,Funding Societies,https://www.fundingsocieties.com/,Fintech,,2015,,$719.6M,Venture Round,
table,99,Singapore,Academic Labs,https://acad.live/,AI,,2023,,$3.2M,Seed,
table,100,Singapore,Whale,https://whale.sg/,AI,,2017,,$141M,Series C,
