source_section,rank,country,name,url,industry,headquarters,year_founded,founders,funding_amount,last_funding_status,top_investors
top10,1,Thailand,LINE MAN Wongnai,https://lmwn.com/,,,,,,,
top10,2,Thailand,One Bangkok,https://www.onebangkok.com/en/,,,,,,,
top10,3,Thailand,Principal Asset Management,https://principal.th/,,,,,,,
top10,4,Thailand,B.Grimm,http://bgrimmgroup.com/,,,,,,,
top10,5,Thailand,Spacely AI,https://www.spacely.ai/,,,,,,,
top10,6,Thailand,Ascend Money,https://www.ascendmoneygroup.com/,,,,,,,
top10,7,Thailand,Lightnet,https://lightnet.io/,,,,,,,
top10,8,Thailand,Manatal,https://www.manatal.com/,,,,,,,
top10,9,Thailand,Pomelo Fashion,http://www.pomelofashion.com/en/,,,,,,,
top10,10,Thailand,T&B Media Global,https://tandbmediaglobal.com/,,,,,,,
table,11,Thailand,Bitkub Capital Group Holdings,https://www.bitkubcapital.com/,Crypto,,2018,,$28.7M,Venture Round,
table,12,Thailand,Fastwork,https://fastwork.co/,Marketplace,,2015,,$5.5M,Series A,
table,13,Thailand,IMCOCO Group,,AgTech,,2023,,CN¥100M,Seed,
table,14,Thailand,HD,http://www.hd.care/,Fintech,,2019,,$19.4M,Series A,
table,15,Thailand,Amity Solutions,https://www.amitysolutions.com/,AI,,2012,,$41.6M,Venture Round,
table,16,Thailand,GuildFi,https://guildfi.com/,Media,,2021,,$6.3M,Undisclosed,
table,17,Thailand,Beam,http://www.beamcheckout.com/,Retail,,2019,,$2.8M,Seed,
table,18,Thailand,Charoen Pokphand Group,http://www.cpgroupglobal.com/,AgTech,,1921,,$20M,Seed,
table,19,Thailand,KXCO,http://www.kxco.io/,Fintech,,2017,,$6M,Seed,
table,20,Thailand,FINNOMENA,http://www.finnomena.com/,Fintech,,2016,,$18.9M,Series B,
table,21,Thailand,Thai Credit Retail Bank,https://www.thaicreditbank.com/,Fintech,,2004,,$197.6M,Debt Financing,
table,22,Thailand,ABACUS digital,https://www.abacusdigital.com/,Fintech,,2017,,$32.1M,Series B,
table,23,Thailand,Crea,https://crea.asia/,Retail,,2016,,$25M,Venture Round,
table,24,Thailand,Wookco,https://wookco.com/,SaaS,,2025,,$150k,Pre-Seed,
table,25,Thailand,Business Online Public Company,https://www.bol.co.th/,Infrastructure,,1995,,THB827.6M,Secondary Market,
table,26,Thailand,Salary Hero,https://www.salary-hero.com/,Media,,2021,,$2.8M,Seed,
table,27,Thailand,Chillchat,http://www.chillchat.me/,Crypto,,2019,,$8.4M,Seed,
table,28,Thailand,Band Protocol,https://bandprotocol.com/,Hardware,,2017,,$10.9M,Seed,
table,29,Thailand,FlowAccount,https://flowaccount.com/,Fintech,,2014,,$5.2M,Series A,
table,30,Thailand,KB J Capital,https://www.kbjcapital.co.th/,Fintech,,2011,,$50M,Debt Financing,
table,31,Thailand,GoWabi,https://www.gowabi.com/,Fashion,,2016,,$5M,Series A,
table,32,Thailand,FBT,http://fbtsports.com/en/,Fashion,,2017,,$150M,Grant,
table,33,Thailand,Eatigo,http://eatigo.com/,Media,,2013,,$25.5M,Series B,
table,34,Thailand,Monix,https://www.monix.co.th/,Media,,2020,,$20M,Venture Round,
table,35,Thailand,GIZTIX,https://www.giztix.com/,Logistics,,2015,,$13.4M,Series B,
table,36,Thailand,Drivemate,https://www.drivemate.asia/,Mobility,,2016,,$2.2M,Series A,
table,37,Thailand,Ookbee,http://www.ookbee.com/,Media,,2012,,$38.5M,Debt Financing,
table,38,Thailand,Conicle,https://conicle.com/,Education,,2014,,$3.9M,Series A,
table,39,Thailand,MyCloudFulfillment,https://www.mycloudfulfillment.com/,Retail,,2015,,$9.4M,Series B,
table,40,Thailand,OsseoLabs,https://www.osseolabs.com/,Healthcare,,2022,,$1.4M,Seed,
table,41,Thailand,Choco CRM,http://www.chococard.co.th/,SaaS,,2014,,$10.6M,Series C,
table,42,Thailand,WISESIGHT,https://wisesight.com/,Analytics,,2007,,$7M,Series B,
table,43,Thailand,Red Planet Hotels,http://www.redplanethotels.com/,Travel,,2010,,$82.3M,Private Equity,
table,44,Thailand,Eventpop,https://www.eventpop.me/,Media,,2015,,$2.5M,Series A,
table,45,Thailand,Lemonaide,https://lemonaidegroup.com/,Mobility,,2021,,$8k,Seed,
table,46,Thailand,Sasom,https://sasom.co.th/,Fashion,,2019,,$3.3M,Series A,
table,47,Thailand,INCREDIBLE™ BIO (formerly JuiceInnov8),https://incredible.us.com/,Biotech,,2014,,$2.2M,Venture Round,
table,48,Thailand,HappyLuke Thailand,https://www.asiancasinoclub.net/review/happyluke/,Gaming,,2014,,THB3M,Series A,
table,49,Thailand,Ally Kex Private Equity Trust,https://www.kexpe.com/,Fintech,,2007,,THB2B,Seed,
table,50,Thailand,Agora Gaming Partners,https://www.agoragamingpartners.com/,Gaming,,2024,,$600k,Angel,
table,51,Thailand,Elumia,https://www.elumia.io/,Crypto,,2021,,$5.2M,Seed,
table,52,Thailand,UniFAHS,https://unifahs.com/,Biotech,,2020,,$1.4M,—,
table,53,Thailand,OPTITRADE,https://www.optitrade-ltd.com/,AgTech,,2024,,$15.1M,Debt Financing,
table,54,Thailand,Sermsang Palang Ngan,,Energy,,—,,THB2.4B,Debt Financing,
table,55,Thailand,WYZauto,https://wyzauto.com/,Retail,,2020,,MYR10.7M,Seed,
table,56,Thailand,Globish Academia (Thailand),https://www.globish.co.th/,Education,,2014,,THB90M,Series A,
