source_section,rank,country,name,url,industry,headquarters,year_founded,founders,funding_amount,last_funding_status,top_investors
top10,1,Vietnam,Dat Bike,https://dat.bike/,,,,,,,
top10,2,Vietnam,Stride,https://www.stride.vn/en,,,,,,,
top10,3,Vietnam,EAERA,https://www.eaera.com/,,,,,,,
top10,4,Vietnam,Tiki,http://tiki.vn/,,,,,,,
top10,5,Vietnam,AI Hay,https://ai-hay.vn/,,,,,,,
top10,6,Vietnam,Gene Solutions,https://genesolutions.vn/,,,,,,,
top10,7,Vietnam,Meteora,https://www.meteora.ag/,,,,,,,
top10,8,Vietnam,VNLIFE,https://vnlife.vn/,,,,,,,
top10,9,Vietnam,COOLMATE,https://www.coolmate.me/,,,,,,,
top10,10,Vietnam,Meey Land Group Joint Stock Company,https://meeygroup.com/,,,,,,,
table,11,Vietnam,SON KIM LAND,http://sonkimland.vn/,Media,,1993,,$404M,Debt Financing,
table,12,Vietnam,Momo,https://momo.vn/,Fintech,,2007,,$433.8M,Series E,
table,13,Vietnam,F88,http://www.f88.vn/,Retail,,2013,,$215.8M,Debt Financing,
table,14,Vietnam,Techcoop,https://techcoop.vn/,AgTech,,2022,,$75M,Debt Financing,
table,15,Vietnam,U2U Network,https://u2u.xyz/,Crypto,,2022,,$13.8M,Series A,
table,16,Vietnam,Nano Technologies,https://www.vuiapp.vn/,Fintech,,2020,,$9.4M,Seed,
table,17,Vietnam,Prep,https://prepedu.com/vi/,Education,,2020,,$9M,Series A,
table,18,Vietnam,The CrownX,,Retail,,2019,,$1.1B,Private Equity,
table,19,Vietnam,Jio Health,https://www.jiohealth.com/,Healthcare,,2016,,$27.7M,Series B,
table,20,Vietnam,Nhi Dong 315,https://www.nhidong315.com/,Healthcare,,2019,,$135M,Venture Round,
table,21,Vietnam,Telio.vn,https://www.telio.vn/,Enterprise,,2019,,$64M,Venture Round,
table,22,Vietnam,Mirai Labs,https://mirailabs.co/,Crypto,,2021,,$4M,Seed,
table,23,Vietnam,Buymed,https://thuocsi.vn/,Enterprise,,2018,,$63.5M,Convertible Note,
table,24,Vietnam,Sendo,https://www.sendo.vn/,Retail,,2012,,$112M,Convertible Note,
table,25,Vietnam,Orochi Network,https://www.orochi.network/,SaaS,,2021,,$12M,Seed,
table,26,Vietnam,Homebase,http://www.homebase.com.vn/,Fintech,,2019,,$30M,Debt Financing,
table,27,Vietnam,HYRA HOLDINGS,https://hyraholdings.com/,Retail,,2021,,$3.9M,Seed,
table,28,Vietnam,Finhay,https://finhay.com.vn/,Fintech,,2017,,$26.1M,Series B,
table,29,Vietnam,Be Group,https://www.be.xyz/,Logistics,,2018,,$90.3M,Venture Round,
table,30,Vietnam,Okxe,https://www.okxe.vn/,Mobility,,2018,,$22.8M,Series A,
table,31,Vietnam,Ancient8,https://ancient8.gg/,Crypto,,2021,,$10M,Grant,
table,32,Vietnam,Concung,https://concung.com/,Retail,,2012,,$106.8M,Private Equity,
table,33,Vietnam,Topica Edtech Group,https://topica.edu.vn/,Education,,2008,,$53.5M,Venture Round,
table,34,Vietnam,Selex Motors,http://selex.vn/,Mobility,,2018,,$5.5M,Convertible Note,
table,35,Vietnam,GIMO,https://gimo.vn/,Fintech,,2019,,$19.5M,Series A,
table,36,Vietnam,Copper Mountain Energy,https://cmenergy.vn/,Enterprise,,2018,,$52M,Debt Financing,
table,37,Vietnam,METUB Network,https://metub.net/,Marketing,,2014,,$21.5M,Series B,
table,38,Vietnam,NextTech Group of Technopreneurs,http://nexttech.asia/,Retail,,2001,,—,—,
table,39,Vietnam,An Binh Commercial Joint Stock Bank (ABBANK),https://www.abbank.vn/,Fintech,,1993,,$150M,Debt Financing,
table,40,Vietnam,Fundiin,https://fundiin.vn/,Retail,,2019,,$6.8M,Series A,
table,41,Vietnam,FastHub Vietnam,https://fasthub.vn/,Retail,,2023,,$300k,Seed,
table,42,Vietnam,Kilo,https://kilo.vn/,Retail,,2020,,$8M,Series A,
