Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks,Year,Source_File,Industry/ Vertical,Sub-Vertical,Invest-mentType,Date,Industry/Vertical,City,Investor Name,Investment Type,Amount(in USD),Unnamed: 0,Founding Date,Founders,Investors,Investment Stage,0,1,2,3,4,5,6,7,8
1.0,03/04/2015,Swiggy,Online Food Delivery,Bangalore,"Accel Partners, SAIF Partners",Private Equity,"2,000,000",Series A,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
2.0,04/04/2015,Bluegape,Web Content Publishing,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,"200,000",,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
3.0,04/04/2015,KeepTrax,Location Based App,Dallas / Hyderabad,,Seed Funding,"1,000,000",,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
4.0,06/04/2015,InstaLively,Video Streaming,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,"120,000",,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
5.0,07/04/2015,Pricejugaad,Price Comparison,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,"165,000",,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
6.0,07/04/2015,Quikr,Online Classifieds,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,"150,000,000",Series G (Checkprev funding details here),2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
7.0,07/04/2015,PressPlay,Travel Entertainment,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,"2,200,000",,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
8.0,07/04/2015,LogiNext,Logistics Tech,Mumbai,"Ajit Surana, Sanjay Mehta",Seed Funding,,,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
9.0,08/04/2015,FirstCry.com,eCommerce,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,  SAIF Partners, Vertex Ventures",Private Equity,"10,000,000","Series D( In Feb it was announced they raised 26M, but it is 36M, so added here)",2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
10.0,08/04/2015,MobiKwik,Digital / Mobile Wallet,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,"25,000,000",Series B,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
11.0,08/04/2015,Olacabs,Cab Aggregator,Bangalore,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,"400,000,000",Series E (Updated from 315M to 400M after Press Release),2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
12.0,09/04/2015,Gadgetwood,Device Repair Svcs,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,Nitin Singhal & Others",Seed Funding,"200,000",,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
13.0,09/04/2015,Bonhomia,Premium Beverages,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,"2,000,000",,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
14.0,09/04/2015,Changer Mints,Digital / Mobile Wallet,Kolkata,Hyderabad based investor,Seed Funding,"165,000",,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
15.0,09/04/2015,Urban Ladder,Online FurnishingeCommerce,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,"50,000,000",Series C,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
16.0,09/04/2015,Purple Squirrel,Ed-Tech,Mumbai,"Matrix Partners India, India Quotient",Private Equity,,Series B,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
17.0,10/04/2015,Whatfix,Interactive  How-To Guides,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,"900,000",,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
18.0,10/04/2015,iMMi Life,Mobile Health Tech,Chennai,Unitus Seed Fund,Seed Funding,,,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
19.0,11/04/2015,Zomato,Restaurant Reviews,Gurgaon,Info Edge (India),Private Equity,"25,000,000",Late Stage,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
20.0,13/04/2015,ZopNow,Online Grocer,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,"10,000,000",Series B,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
21.0,13/04/2015,Nayi Disha,Ed-Tech,New Delhi,"Ajay Relan,",Seed Funding,"300,000",,2015,Apr_2015.csv,,,,,,,,,,,,,,,,,,,,,,,
