Region,Baseline,Metric,P(SFTNN_better),P(SFTNN_worse),P(tie),n_paired_boot
AGGREGATE,Standard MLP (baseline),Accuracy,0.9555,0.0375,0.006999999999999985,2000
AGGREGATE,Standard MLP (baseline),Precision,1.0,0.0,0.0,2000
AGGREGATE,Standard MLP (baseline),Recall,0.0025,0.996,0.0015000000000000568,2000
AGGREGATE,Standard MLP (baseline),F1,0.6485,0.3515,5.551115123125783e-17,2000
AGGREGATE,Standard MLP (baseline),ROC-AUC,0.806,0.194,-5.551115123125783e-17,2000
AGGREGATE,Standard MLP (baseline),PR-AUC,0.472,0.528,0.0,2000
AGGREGATE,XGBoost (baseline),Accuracy,0.058,0.939,0.0030000000000000027,2000
AGGREGATE,XGBoost (baseline),Precision,0.0,1.0,0.0,2000
AGGREGATE,XGBoost (baseline),Recall,1.0,0.0,0.0,2000
AGGREGATE,XGBoost (baseline),F1,0.743,0.257,0.0,2000
AGGREGATE,XGBoost (baseline),ROC-AUC,0.0035,0.9965,0.0,2000
AGGREGATE,XGBoost (baseline),PR-AUC,0.0005,0.9995,0.0,2000
AGGREGATE,TabNet (baseline),Accuracy,0.7275,0.2615,0.010999999999999954,2000
AGGREGATE,TabNet (baseline),Precision,0.462,0.538,0.0,2000
AGGREGATE,TabNet (baseline),Recall,0.9235,0.0655,0.01100000000000001,2000
AGGREGATE,TabNet (baseline),F1,0.825,0.175,5.551115123125783e-17,2000
AGGREGATE,TabNet (baseline),ROC-AUC,0.84,0.16,2.7755575615628914e-17,2000
AGGREGATE,TabNet (baseline),PR-AUC,0.042,0.958,0.0,2000
Africa,Standard MLP (baseline),Accuracy,0.6025,0.19,0.20749999999999996,2000
Africa,Standard MLP (baseline),Precision,0.106,0.572,0.32200000000000006,2000
Africa,Standard MLP (baseline),Recall,0.876,0.0,0.124,2000
Africa,Standard MLP (baseline),F1,0.8375,0.1065,0.05599999999999998,2000
Africa,Standard MLP (baseline),ROC-AUC,0.9014507253626813,0.08604302151075538,0.012506253126563283,1999
Africa,Standard MLP (baseline),PR-AUC,0.8814407203601801,0.11105552776388194,0.007503751875937992,1999
Africa,XGBoost (baseline),Accuracy,0.3395,0.351,0.3095,2000
Africa,XGBoost (baseline),Precision,0.0245,0.6265,0.3490000000000001,2000
Africa,XGBoost (baseline),Recall,0.6365,0.0,0.36350000000000005,2000
Africa,XGBoost (baseline),F1,0.5705,0.2875,0.14200000000000002,2000
Africa,XGBoost (baseline),ROC-AUC,0.5322661330665333,0.376688344172086,0.09104552276138073,1999
Africa,XGBoost (baseline),PR-AUC,0.5222611305652827,0.4227113556778389,0.05502751375687842,1999
Africa,TabNet (baseline),Accuracy,0.876,0.0,0.124,2000
Africa,TabNet (baseline),Precision,0.599,0.0,0.401,2000
Africa,TabNet (baseline),Recall,0.876,0.0,0.124,2000
Africa,TabNet (baseline),F1,0.876,0.0,0.124,2000
Africa,TabNet (baseline),ROC-AUC,0.9769884942471235,0.01250625312656328,0.01050525262631319,1999
Africa,TabNet (baseline),PR-AUC,0.9164582291145573,0.07553776888444222,0.00800400200100046,1999
East Asia,Standard MLP (baseline),Accuracy,0.2425,0.6565,0.10100000000000009,2000
East Asia,Standard MLP (baseline),Precision,0.433,0.559,0.007999999999999896,2000
East Asia,Standard MLP (baseline),Recall,0.0255,0.9205,0.05400000000000005,2000
East Asia,Standard MLP (baseline),F1,0.123,0.8695,0.007499999999999951,2000
East Asia,Standard MLP (baseline),ROC-AUC,0.122,0.877,0.0010000000000000009,2000
East Asia,Standard MLP (baseline),PR-AUC,0.411,0.589,0.0,2000
East Asia,XGBoost (baseline),Accuracy,0.117,0.8445,0.03849999999999998,2000
East Asia,XGBoost (baseline),Precision,0.042,0.958,0.0,2000
East Asia,XGBoost (baseline),Recall,0.8695,0.0755,0.05499999999999995,2000
East Asia,XGBoost (baseline),F1,0.4835,0.5155,0.0010000000000000009,2000
East Asia,XGBoost (baseline),ROC-AUC,0.058,0.9415,0.0004999999999999449,2000
East Asia,XGBoost (baseline),PR-AUC,0.2495,0.7505,0.0,2000
East Asia,TabNet (baseline),Accuracy,0.4715,0.448,0.08049999999999996,2000
East Asia,TabNet (baseline),Precision,0.471,0.515,0.014000000000000012,2000
East Asia,TabNet (baseline),Recall,0.5895,0.256,0.15449999999999997,2000
East Asia,TabNet (baseline),F1,0.577,0.41,0.013000000000000067,2000
East Asia,TabNet (baseline),ROC-AUC,0.444,0.556,0.0,2000
East Asia,TabNet (baseline),PR-AUC,0.239,0.761,0.0,2000
Europe,Standard MLP (baseline),Accuracy,0.9515,0.034,0.014499999999999985,2000
Europe,Standard MLP (baseline),Precision,1.0,0.0,0.0,2000
Europe,Standard MLP (baseline),Recall,0.022,0.9705,0.007499999999999951,2000
Europe,Standard MLP (baseline),F1,0.611,0.3885,0.0005000000000000004,2000
Europe,Standard MLP (baseline),ROC-AUC,0.741,0.259,0.0,2000
Europe,Standard MLP (baseline),PR-AUC,0.406,0.594,0.0,2000
Europe,XGBoost (baseline),Accuracy,0.1335,0.848,0.018500000000000072,2000
Europe,XGBoost (baseline),Precision,0.007,0.993,0.0,2000
Europe,XGBoost (baseline),Recall,0.882,0.1,0.017999999999999988,2000
Europe,XGBoost (baseline),F1,0.439,0.5605,0.0004999999999999449,2000
Europe,XGBoost (baseline),ROC-AUC,0.068,0.932,-1.1102230246251565e-16,2000
Europe,XGBoost (baseline),PR-AUC,0.004,0.996,0.0,2000
Europe,TabNet (baseline),Accuracy,0.797,0.181,0.021999999999999964,2000
Europe,TabNet (baseline),Precision,0.984,0.016,1.3877787807814457e-17,2000
Europe,TabNet (baseline),Recall,0.0345,0.959,0.006500000000000061,2000
Europe,TabNet (baseline),F1,0.45,0.55,0.0,2000
Europe,TabNet (baseline),ROC-AUC,0.3755,0.6245,0.0,2000
Europe,TabNet (baseline),PR-AUC,0.0415,0.9585,0.0,2000
Latin America,Standard MLP (baseline),Accuracy,0.44,0.4125,0.14750000000000008,2000
Latin America,Standard MLP (baseline),Precision,0.939,0.056,0.005000000000000053,2000
Latin America,Standard MLP (baseline),Recall,0.0,0.981,0.019000000000000017,2000
Latin America,Standard MLP (baseline),F1,0.1815,0.814,0.0045000000000000595,2000
Latin America,Standard MLP (baseline),ROC-AUC,0.113,0.8855,0.0015000000000000568,2000
Latin America,Standard MLP (baseline),PR-AUC,0.059,0.941,1.1102230246251565e-16,2000
Latin America,XGBoost (baseline),Accuracy,0.18,0.71,0.1100000000000001,2000
Latin America,XGBoost (baseline),Precision,0.539,0.4415,0.019499999999999962,2000
Latin America,XGBoost (baseline),Recall,0.045,0.877,0.07799999999999996,2000
Latin America,XGBoost (baseline),F1,0.1315,0.849,0.019500000000000073,2000
Latin America,XGBoost (baseline),ROC-AUC,0.0475,0.952,0.000500000000000056,2000
Latin America,XGBoost (baseline),PR-AUC,0.0045,0.9955,0.0,2000
Latin America,TabNet (baseline),Accuracy,0.146,0.772,0.08199999999999996,2000
Latin America,TabNet (baseline),Precision,0.177,0.7995,0.023499999999999965,2000
Latin America,TabNet (baseline),Recall,0.2465,0.579,0.1745000000000001,2000
Latin America,TabNet (baseline),F1,0.2155,0.7605,0.02400000000000002,2000
Latin America,TabNet (baseline),ROC-AUC,0.5315,0.464,0.004500000000000004,2000
Latin America,TabNet (baseline),PR-AUC,0.2775,0.7225,-1.1102230246251565e-16,2000
North America,Standard MLP (baseline),Accuracy,0.883,0.104,0.012999999999999998,2000
North America,Standard MLP (baseline),Precision,0.997,0.003,2.6020852139652106e-18,2000
North America,Standard MLP (baseline),Recall,0.0545,0.934,0.011499999999999955,2000
North America,Standard MLP (baseline),F1,0.7135,0.2865,0.0,2000
North America,Standard MLP (baseline),ROC-AUC,0.371,0.629,0.0,2000
North America,Standard MLP (baseline),PR-AUC,0.405,0.595,0.0,2000
North America,XGBoost (baseline),Accuracy,0.3315,0.6495,0.019000000000000017,2000
North America,XGBoost (baseline),Precision,0.0,1.0,0.0,2000
North America,XGBoost (baseline),Recall,1.0,0.0,0.0,2000
North America,XGBoost (baseline),F1,0.92,0.08,-4.163336342344337e-17,2000
North America,XGBoost (baseline),ROC-AUC,0.0265,0.9735,0.0,2000
North America,XGBoost (baseline),PR-AUC,0.009,0.991,0.0,2000
North America,TabNet (baseline),Accuracy,0.6795,0.2915,0.029000000000000026,2000
North America,TabNet (baseline),Precision,0.132,0.868,0.0,2000
North America,TabNet (baseline),Recall,0.9985,0.0015,-5.421010862427522e-17,2000
North America,TabNet (baseline),F1,0.9005,0.0995,2.7755575615628914e-17,2000
North America,TabNet (baseline),ROC-AUC,0.7245,0.2755,-5.551115123125783e-17,2000
North America,TabNet (baseline),PR-AUC,0.196,0.804,0.0,2000
South Asia,Standard MLP (baseline),Accuracy,0.981,0.0,0.019000000000000017,2000
South Asia,Standard MLP (baseline),Precision,0.9805,0.0,0.019499999999999962,2000
South Asia,Standard MLP (baseline),Recall,0.8725,0.0,0.12749999999999995,2000
South Asia,Standard MLP (baseline),F1,0.981,0.0,0.019000000000000017,2000
South Asia,Standard MLP (baseline),ROC-AUC,1.0,0.0,0.0,2000
South Asia,Standard MLP (baseline),PR-AUC,1.0,0.0,0.0,2000
South Asia,XGBoost (baseline),Accuracy,0.091,0.832,0.07700000000000007,2000
South Asia,XGBoost (baseline),Precision,0.0055,0.9925,0.0020000000000000018,2000
South Asia,XGBoost (baseline),Recall,0.8745,0.0,0.12549999999999994,2000
South Asia,XGBoost (baseline),F1,0.403,0.5855,0.011499999999999955,2000
South Asia,XGBoost (baseline),ROC-AUC,0.5655,0.429,0.005500000000000005,2000
South Asia,XGBoost (baseline),PR-AUC,0.58,0.42,5.551115123125783e-17,2000
South Asia,TabNet (baseline),Accuracy,0.561,0.3425,0.09649999999999992,2000
South Asia,TabNet (baseline),Precision,0.3785,0.607,0.014499999999999957,2000
South Asia,TabNet (baseline),Recall,0.874,0.0505,0.0755,2000
South Asia,TabNet (baseline),F1,0.7855,0.2025,0.01200000000000001,2000
