Model,Region,n,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Standard MLP (baseline),Africa,26,0.7692307692307693,1.0,0.14285714285714285,0.25,0.45864661654135336,0.36643248243059795
Standard MLP (baseline),East Asia,220,0.7136363636363636,0.734375,0.5053763440860215,0.5987261146496815,0.7612395224790449,0.7471476678979088
Standard MLP (baseline),Europe,1190,0.7563025210084033,0.8148148148148148,0.5344129554655871,0.6454767726161369,0.8123385802038253,0.7805024402893013
Standard MLP (baseline),Latin America,104,0.7980769230769231,0.6666666666666666,0.5517241379310345,0.6037735849056604,0.8190804597701149,0.7414488657805871
Standard MLP (baseline),North America,3550,0.7676056338028169,0.827893175074184,0.7227979274611399,0.7717842323651453,0.8424480266103754,0.8675995331267528
Standard MLP (baseline),South Asia,134,0.7238805970149254,0.7941176470588235,0.47368421052631576,0.5934065934065934,0.8024606971975392,0.7936775238172881
Standard MLP (baseline),Southeast Asia,115,0.8608695652173913,0.8,0.36363636363636365,0.5,0.803030303030303,0.6523400542566808
XGBoost (baseline),Africa,26,0.8076923076923077,1.0,0.2857142857142857,0.4444444444444444,0.6842105263157895,0.614391910610398
XGBoost (baseline),East Asia,220,0.7363636363636363,0.7611940298507462,0.5483870967741935,0.6375,0.7670392007450682,0.7579694626759279
XGBoost (baseline),Europe,1190,0.7705882352941177,0.8221574344023324,0.5708502024291497,0.6738351254480287,0.8143643259341988,0.7951514203161755
XGBoost (baseline),Latin America,104,0.8269230769230769,0.72,0.6206896551724138,0.6666666666666666,0.8443678160919541,0.7927645110056096
XGBoost (baseline),North America,3550,0.7684507042253521,0.8202312138728324,0.7352331606217617,0.7754098360655738,0.8498480777841746,0.8769632728877751
XGBoost (baseline),South Asia,134,0.7238805970149254,0.7941176470588235,0.47368421052631576,0.5934065934065934,0.8061061745272272,0.8029899411929453
XGBoost (baseline),Southeast Asia,115,0.8695652173913043,0.7692307692307693,0.45454545454545453,0.5714285714285714,0.8352883675464321,0.6558082620257983
TabNet (baseline),Africa,26,0.7692307692307693,0.6666666666666666,0.2857142857142857,0.4,0.6466165413533834,0.5356525943710817
TabNet (baseline),East Asia,220,0.7272727272727273,0.7391304347826086,0.5483870967741935,0.6296296296296297,0.7261874523749048,0.7121273604463645
TabNet (baseline),Europe,1190,0.7436974789915967,0.7321867321867321,0.6032388663967612,0.6614872364039955,0.790946821629671,0.7675836379249492
TabNet (baseline),Latin America,104,0.8076923076923077,0.7368421052631579,0.4827586206896552,0.5833333333333334,0.8121839080459771,0.7209534861630544
TabNet (baseline),North America,3550,0.7447887323943662,0.7919042189281642,0.7196891191709844,0.754071661237785,0.8240716753022451,0.8512239839920692
TabNet (baseline),South Asia,134,0.7089552238805971,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.7994987468671679,0.7833224861574171
TabNet (baseline),Southeast Asia,115,0.8173913043478261,0.5263157894736842,0.45454545454545453,0.4878048780487805,0.8005865102639296,0.49442327199677755
Proposed SFTNN,Africa,26,0.7692307692307693,0.6666666666666666,0.2857142857142857,0.4,0.6917293233082706,0.6125850340136054
Proposed SFTNN,East Asia,220,0.740909090909091,0.8,0.5161290322580645,0.6274509803921569,0.7802895605791211,0.7693291280068864
Proposed SFTNN,Europe,1190,0.7546218487394958,0.819620253164557,0.5242914979757085,0.6395061728395062,0.8078101005165435,0.7766212561872108
Proposed SFTNN,Latin America,104,0.8076923076923077,0.7647058823529411,0.4482758620689655,0.5652173913043478,0.819080459770115,0.740375150517657
Proposed SFTNN,North America,3550,0.7619718309859155,0.8134026574234546,0.7295336787564767,0.7691887462441955,0.8417448666282863,0.8673195622062755
Proposed SFTNN,South Asia,134,0.7014925373134329,0.7428571428571429,0.45614035087719296,0.5652173913043478,0.8047391205285942,0.787311556593513
Proposed SFTNN,Southeast Asia,115,0.8695652173913043,0.8888888888888888,0.36363636363636365,0.5161290322580645,0.8142717497556207,0.6450542899471028
