Region,Baseline,Metric,P(SFTNN_better),P(SFTNN_worse),P(tie),n_paired_boot
AGGREGATE,Standard MLP (baseline),Accuracy,0.725,0.2525,0.02250000000000002,2000
AGGREGATE,Standard MLP (baseline),Precision,0.8205,0.178,0.0015000000000000013,2000
AGGREGATE,Standard MLP (baseline),Recall,0.4025,0.557,0.04049999999999987,2000
AGGREGATE,Standard MLP (baseline),F1,0.669,0.3295,0.0014999999999999458,2000
AGGREGATE,Standard MLP (baseline),ROC-AUC,0.74,0.26,0.0,2000
AGGREGATE,Standard MLP (baseline),PR-AUC,0.6875,0.3125,0.0,2000
AGGREGATE,XGBoost (baseline),Accuracy,0.008,0.991,0.0010000000000000009,2000
AGGREGATE,XGBoost (baseline),Precision,0.0,1.0,0.0,2000
AGGREGATE,XGBoost (baseline),Recall,1.0,0.0,0.0,2000
AGGREGATE,XGBoost (baseline),F1,0.7665,0.233,0.0005000000000000282,2000
AGGREGATE,XGBoost (baseline),ROC-AUC,0.002,0.998,0.0,2000
AGGREGATE,XGBoost (baseline),PR-AUC,0.0,1.0,0.0,2000
AGGREGATE,TabNet (baseline),Accuracy,0.408,0.576,0.016000000000000125,2000
AGGREGATE,TabNet (baseline),Precision,0.006,0.994,0.0,2000
AGGREGATE,TabNet (baseline),Recall,1.0,0.0,0.0,2000
AGGREGATE,TabNet (baseline),F1,0.8475,0.1525,-2.7755575615628914e-17,2000
AGGREGATE,TabNet (baseline),ROC-AUC,0.8065,0.1935,0.0,2000
AGGREGATE,TabNet (baseline),PR-AUC,0.0865,0.9135,0.0,2000
Africa,Standard MLP (baseline),Accuracy,0.6025,0.19,0.20749999999999996,2000
Africa,Standard MLP (baseline),Precision,0.106,0.572,0.32200000000000006,2000
Africa,Standard MLP (baseline),Recall,0.876,0.0,0.124,2000
Africa,Standard MLP (baseline),F1,0.8375,0.1065,0.05599999999999998,2000
Africa,Standard MLP (baseline),ROC-AUC,0.9639819909954978,0.025512756378189096,0.010505252626313154,1999
Africa,Standard MLP (baseline),PR-AUC,0.871935967983992,0.12056028014007003,0.007503751875937992,1999
Africa,XGBoost (baseline),Accuracy,0.3395,0.351,0.3095,2000
Africa,XGBoost (baseline),Precision,0.0245,0.6265,0.3490000000000001,2000
Africa,XGBoost (baseline),Recall,0.6365,0.0,0.36350000000000005,2000
Africa,XGBoost (baseline),F1,0.5705,0.2875,0.14200000000000002,2000
Africa,XGBoost (baseline),ROC-AUC,0.7968984492246123,0.14607303651825912,0.0570285142571286,1999
Africa,XGBoost (baseline),PR-AUC,0.4957478739369685,0.47223611805902954,0.03201600800400195,1999
Africa,TabNet (baseline),Accuracy,0.876,0.0,0.124,2000
Africa,TabNet (baseline),Precision,0.599,0.0,0.401,2000
Africa,TabNet (baseline),Recall,0.876,0.0,0.124,2000
Africa,TabNet (baseline),F1,0.876,0.0,0.124,2000
Africa,TabNet (baseline),ROC-AUC,0.9789894947473737,0.01250625312656328,0.008504252126062985,1999
Africa,TabNet (baseline),PR-AUC,0.8984492246123061,0.09404702351175588,0.007503751875937978,1999
East Asia,Standard MLP (baseline),Accuracy,0.1665,0.7615,0.07200000000000006,2000
East Asia,Standard MLP (baseline),Precision,0.2925,0.7,0.007500000000000062,2000
East Asia,Standard MLP (baseline),Recall,0.0205,0.936,0.04349999999999998,2000
East Asia,Standard MLP (baseline),F1,0.073,0.922,0.0050000000000000044,2000
East Asia,Standard MLP (baseline),ROC-AUC,0.032,0.968,0.0,2000
East Asia,Standard MLP (baseline),PR-AUC,0.108,0.892,0.0,2000
East Asia,XGBoost (baseline),Accuracy,0.094,0.8775,0.02850000000000008,2000
East Asia,XGBoost (baseline),Precision,0.032,0.968,0.0,2000
East Asia,XGBoost (baseline),Recall,0.859,0.081,0.06000000000000001,2000
East Asia,XGBoost (baseline),F1,0.4245,0.5745,0.0010000000000000009,2000
East Asia,XGBoost (baseline),ROC-AUC,0.027,0.973,0.0,2000
East Asia,XGBoost (baseline),PR-AUC,0.118,0.882,0.0,2000
East Asia,TabNet (baseline),Accuracy,0.3885,0.5375,0.07399999999999995,2000
East Asia,TabNet (baseline),Precision,0.388,0.601,0.01100000000000001,2000
East Asia,TabNet (baseline),Recall,0.5745,0.278,0.14749999999999996,2000
East Asia,TabNet (baseline),F1,0.507,0.4825,0.01050000000000001,2000
