Region,Baseline,Metric,P(SFTNN_better),P(SFTNN_worse),P(tie),n_paired_boot
AGGREGATE,Standard MLP (baseline),Accuracy,0.834,0.1505,0.015500000000000042,2000
AGGREGATE,Standard MLP (baseline),Precision,1.0,0.0,0.0,2000
AGGREGATE,Standard MLP (baseline),Recall,0.0,1.0,0.0,2000
AGGREGATE,Standard MLP (baseline),F1,0.312,0.688,0.0,2000
AGGREGATE,Standard MLP (baseline),ROC-AUC,0.9635,0.0365,-2.0816681711721685e-17,2000
AGGREGATE,Standard MLP (baseline),PR-AUC,0.403,0.597,0.0,2000
AGGREGATE,XGBoost (baseline),Accuracy,0.0115,0.988,0.000500000000000056,2000
AGGREGATE,XGBoost (baseline),Precision,0.0,1.0,0.0,2000
AGGREGATE,XGBoost (baseline),Recall,1.0,0.0,0.0,2000
AGGREGATE,XGBoost (baseline),F1,0.5495,0.4505,0.0,2000
AGGREGATE,XGBoost (baseline),ROC-AUC,0.008,0.992,0.0,2000
AGGREGATE,XGBoost (baseline),PR-AUC,0.0,1.0,0.0,2000
AGGREGATE,TabNet (baseline),Accuracy,0.4645,0.5115,0.02400000000000002,2000
AGGREGATE,TabNet (baseline),Precision,0.2095,0.7905,0.0,2000
AGGREGATE,TabNet (baseline),Recall,0.8945,0.096,0.009500000000000036,2000
AGGREGATE,TabNet (baseline),F1,0.6525,0.3475,5.551115123125783e-17,2000
AGGREGATE,TabNet (baseline),ROC-AUC,0.927,0.073,-4.163336342344337e-17,2000
AGGREGATE,TabNet (baseline),PR-AUC,0.0375,0.9625,0.0,2000
Africa,Standard MLP (baseline),Accuracy,0.399,0.4115,0.1895,2000
Africa,Standard MLP (baseline),Precision,0.106,0.7835,0.11050000000000004,2000
Africa,Standard MLP (baseline),Recall,0.876,0.0,0.124,2000
Africa,Standard MLP (baseline),F1,0.7615,0.1905,0.04800000000000004,2000
Africa,Standard MLP (baseline),ROC-AUC,0.9414707353676839,0.03751875937968985,0.021010505252626266,1999
Africa,Standard MLP (baseline),PR-AUC,0.959479739869935,0.022011005502751375,0.01850925462731367,1999
