Model,Region,n,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Standard MLP (baseline),Africa,24,0.7916666666666666,1.0,0.16666666666666666,0.2857142857142857,0.574074074074074,0.5824915824915824
Standard MLP (baseline),East Asia,244,0.6639344262295082,0.6419753086419753,0.49523809523809526,0.5591397849462365,0.7038369304556354,0.6990542711752374
Standard MLP (baseline),Europe,1159,0.7532355478861087,0.8006872852233677,0.5054229934924078,0.6196808510638298,0.8096560361491463,0.7781933107634795
Standard MLP (baseline),Latin America,105,0.7238095238095238,0.6451612903225806,0.5263157894736842,0.5797101449275363,0.772191673212883,0.7240157906900683
Standard MLP (baseline),North America,3589,0.7559208693229312,0.8162066940692895,0.7117255504352279,0.7603938730853391,0.8338564768389676,0.8617338799646552
Standard MLP (baseline),South Asia,111,0.7297297297297297,0.6538461538461539,0.4473684210526316,0.53125,0.7891131939437634,0.7091435386411046
Standard MLP (baseline),Southeast Asia,76,0.7368421052631579,0.7307692307692307,0.59375,0.6551724137931034,0.7592329545454545,0.7576115301115112
XGBoost (baseline),Africa,24,0.875,1.0,0.5,0.6666666666666666,0.8333333333333334,0.7472222222222221
XGBoost (baseline),East Asia,244,0.7008196721311475,0.6904761904761905,0.5523809523809524,0.6137566137566137,0.7339842411784858,0.7219702782466002
XGBoost (baseline),Europe,1159,0.7851596203623814,0.8117647058823529,0.5986984815618221,0.6891385767790262,0.8344246654525791,0.8104611720758879
XGBoost (baseline),Latin America,105,0.8095238095238095,0.8214285714285714,0.6052631578947368,0.696969696969697,0.8625294579732915,0.838826640184094
XGBoost (baseline),North America,3589,0.764279743661187,0.8013064779531845,0.7537122375832054,0.7767810026385225,0.8473441273346629,0.8753871204660797
XGBoost (baseline),South Asia,111,0.7927927927927928,0.8260869565217391,0.5,0.6229508196721312,0.8314708002883922,0.7725376142054706
XGBoost (baseline),Southeast Asia,76,0.7368421052631579,0.75,0.5625,0.6428571428571429,0.7805397727272727,0.7527732500840241
TabNet (baseline),Africa,24,0.7916666666666666,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5462962962962963,0.5388755980861244
TabNet (baseline),East Asia,244,0.6598360655737705,0.6145833333333334,0.5619047619047619,0.5870646766169154,0.711819116135663,0.7140962224536463
TabNet (baseline),Europe,1159,0.7618636755823986,0.7250608272506083,0.6464208242950108,0.6834862385321101,0.8272489107397024,0.8029797802552014
TabNet (baseline),Latin America,105,0.8095238095238095,0.9090909090909091,0.5263157894736842,0.6666666666666666,0.8059701492537313,0.7905418592830267
TabNet (baseline),North America,3589,0.7603789356366676,0.7838961038961039,0.7726574500768049,0.778236204228984,0.8402481230681405,0.8683774267961636
TabNet (baseline),South Asia,111,0.7747747747747747,0.76,0.5,0.6031746031746031,0.7750540735400144,0.6917730450173746
TabNet (baseline),Southeast Asia,76,0.7631578947368421,0.75,0.65625,0.7,0.7798295454545454,0.7661149886503882
Proposed SFTNN,Africa,24,0.8333333333333334,0.75,0.5,0.6,0.8518518518518519,0.7473155929038282
Proposed SFTNN,East Asia,244,0.639344262295082,0.5841584158415841,0.5619047619047619,0.5728155339805825,0.7097293593696472,0.690291628904112
Proposed SFTNN,Europe,1159,0.7653149266609146,0.7560975609756098,0.6052060737527115,0.672289156626506,0.8295610638390444,0.7924276664593265
Proposed SFTNN,Latin America,105,0.780952380952381,0.7777777777777778,0.5526315789473685,0.6461538461538462,0.8232521602513747,0.7917660209904201
Proposed SFTNN,North America,3589,0.7614934522151017,0.7897517168515584,0.7654889912954429,0.7774310972438897,0.8429366080896169,0.8658768137220323
Proposed SFTNN,South Asia,111,0.7927927927927928,0.7777777777777778,0.5526315789473685,0.6461538461538462,0.8298485940879595,0.7772675555203952
Proposed SFTNN,Southeast Asia,76,0.7368421052631579,0.7,0.65625,0.6774193548387096,0.7613636363636364,0.7600862244594917
